egoid,vertex1,vertex2,wave
13928,13928,964720,1
13928,971701,827691,1
13928,97021,180973,1
14250,14250,896515,1
14250,14250,238451,1
14250,14250,826328,1
14250,14250,450233,1
14250,14250,327084,1
14250,14250,998645,1
14250,14250,708135,1
14250,14250,728865,1
14250,14250,792357,1
14250,14250,851123,1
14250,14250,845680,1
14250,14250,495894,1
14250,14250,527938,1
14250,14250,801513,1
14250,14250,671738,1
14250,14250,359771,1
14250,14250,735561,1
14250,238451,255227,1
14250,327084,896515,1
14250,845680,708135,1
14250,728865,527938,1
14250,801513,255227,1
14250,735561,851123,1
14250,950107,255227,1
14250,845680,728865,1
14250,327084,359771,1
14250,998645,950107,1
14250,327084,826328,1
14250,527938,708135,1
14250,728865,708135,1
14250,998645,845680,1
14250,671738,255227,1
14250,950107,218503,1
14250,801513,238451,1
14250,998645,671738,1
14250,359771,896515,1
14250,950107,708135,1
14250,950107,792357,1
14250,327084,255227,1
14250,359771,851123,1
14250,792357,896515,1
14250,671738,826328,1
14250,950107,851123,1
14250,998645,327084,1
14250,327084,851123,1
14250,359771,708135,1
14250,728865,896515,1
14250,327084,238451,1
14250,998645,896515,1
14250,255227,218503,1
14250,671738,735561,1
14250,950107,801513,1
14250,845680,238451,1
14250,998645,851123,1
14250,998645,527938,1
14250,998645,728865,1
